artist_id;artist_name;track_id
0u6DHFbAF5yCLQ6KXJTEib;SikTh;1lOCYC8ljy7ZmqTH4I96g4
1culxorWJ7asjQIHf9RSzs;Stephen Carpenter (of Deftones);1lOCYC8ljy7ZmqTH4I96g4
0KRqdhJSmE5uVSJ2SyDpRZ;Technical Itch;1lOCYC8ljy7ZmqTH4I96g4
38ZoSddjoRbcCcEXyqdWIj;Richie Londres;1lOCYC8ljy7ZmqTH4I96g4
3UEuTog3sQ7Dt3mTv0bsEo;Plague To Pyres;1lOCYC8ljy7ZmqTH4I96g4
7IrBqZo6diq3hV3GpUhrs2;Jim Legxacy;0L7CLr2avMQXAwA3uTqJp3
4aEnNH9PuU1HF3TsZTru54;Caribou;6G7OiVdHJAbsaNqx94ojqg
4rdJkXHNrMgowlwUdQAg8T;Ela Minus;0fZUrXDSiZAO1XT9cVjP6T
0TTADMS1RLOmf7qACoMewD;Ain't;3M1AOV25ZrXc4bLdHcDzEf
7KeN0XX71T4fGysIYLB5J5;Destroy Boys;72KK2zfWDMXDwHk2WEUUCv
33yje3hgpNfdXpqdJQcrt9;Mannequin Pussy;72KK2zfWDMXDwHk2WEUUCv
6hW33nVHPElaXuG2hQ0QOp;Scowl;4Ce8dTj67I9SbiSf7QPno2
2RqrWplViWHSGLzlhmDcbt;Yaeji;1wNGpQSw15a7rXjtcK4hK8
1Zoaf3n6LhFuN5Ir3Ab4yM;Jane Paknia;1V9kNQy5UOsgRbgrNu595p
14hI6ZlrKB6X81Y046P2MW;Hagop Tchaparian;1V9kNQy5UOsgRbgrNu595p
0VRj0yCOv2FXJNP47XQnx5;Quavo;22DH8NChecsgPxDjA4pqer
00FQb4jTyendYWaN8pK0wa;Lana Del Rey;22DH8NChecsgPxDjA4pqer
1xU878Z1QtBldR7ru9owdU;Phoenix;2KejCKgm7l3uefW9cFt8cH
5aMPRdW6S0lzdsJgwdcggq;Annabel;0ybw0fLhsejtW98qNiCZjW
34YDJw1qH194wPOUrfc4hZ;Hot Joy;4Z5K8WdZNIiI5ThI9q6sZo
4SpbR6yFEvexJuaBpgAU5p;LE SSERAFIM;3lLH0FlC2pYCeZEf05zKQn
78rUTD7y6Cy67W1RVzYs7t;PinkPantheress;78wZn0wdzhj3imUleYWd5M
0kDgxQlVYVecF6MCNWJTYE;Pivot Gang;2ROmMcGqLYzPRWaUptuOv1
6lirZ0ouvh4l3fz3HSnIwi;Joseph Chilliams;2ROmMcGqLYzPRWaUptuOv1
7Hjbimq43OgxaBRpFXic4x;Saba;2ROmMcGqLYzPRWaUptuOv1
14hFXWA8giW96HpYkTxywX;Frsh Waters;2ROmMcGqLYzPRWaUptuOv1
