track_id;popularity;track_name;duration
6OqZgmzppG0NVx3nPwpH6W;31;Wants Needs;298846
3W7KG7GdgzeHVFnEy7loAC;6;Castle;213906
0fZUrXDSiZAO1XT9cVjP6T;44;QQQQ;203601
3IeraaelNVdgrB2gVQ8dzq;35;Have Heaven;188221
143V5XYaTVxo4Ydfa7r9Ir;32;Coma;259752
3OOURqRuGD9ZjYfXbDlHol;3;Hell Is Gonna Happen;212371
7jwsAVLwR4SnVKDf931TOt;24;Will My Love;434500
53OegCh40rWw0D9grp5oEo;26;Demolition;306377
7HlHHdXN8RJMdAA2Ujbwju;35;Dial Tones X (feat. Holding Absence);197527
2sbaGC1NXMbkU2VbMAj7tb;14;The Prize;199440
5GNdabkOhzraF3f3DZm8pR;24;Volume Control;228833
04K5qfFqfxJF5yh3xaUYZS;38;Cradle The Pain;248999
2PhkNQP93tocN4XUt0JRa0;20;One More Reason;181275
7GlExXS4otYR7sntsPMcMd;35;Portrait of My Heart;282850
3jZTAWOSNWaWauQ03WX9da;26;Single File Line;130673
09FLigvepMuPrheurqSp2G;15;I Got Exactly What I Wanted;176749
1lUeZctPxbFJWysc8w9aha;30;Bologna;264120
5qKo0YSaAkYe6kgYz8Ac0Y;40;Ankles;191476
21uORftqCAkZWbqLzjpnPy;33;De Guerre;155180
0SEVmelgCBzx3S4CU6YYlD;24;Ankles;191476
0eOT4T0gy2vqOZsMI2FKQS;48;Heroes - Spotify Singles;180217
0DtQanUh4WdXj7r7gpxTR4;27;Hell & Back - feat. Jaren Johnston;182497
5FyuAWzujpuPmyweWIGPH5;38;late to the party;176883
5CjmMIJJ0tvGaCmzRqdZKd;25;Brinna ut;201853
75mYrTZjW3xxOZg0JRFgAr;3;Fiends Don’t Lose;208280
1hBBnrAp6AcjSJteObP0dE;18;Narcissist;237426
1pfw03FOjkDE3GcjlsNIHA;1;The Old Guard Is Dead;184028
27phUMXA53CLokQgatsJaz;48;Too Many Women (feat. kwn);118933
23K5wTomiNskKrWqDOwchX;30;Camel8strike;238113
7IpWpWnpsFPqZwc1ADfEwI;45;T&A;225280
3El9UdrncPt4ISzlv7v8ON;54;It's a Mirror;212320
5cH4aDc11Wa8aJgk0zWhRM;0;Teeth to Sky;291746
0Hp2r3xb1Th9ZEeuQGOGiS;42;what3ver;175757
0WyyWao1PN1huUWHb1Sz0h;45;Glass Shatters - New Mix;244397
37SR66nUcBynhOqSmZx3Xt;58;Selena;131506
789pOMLJWqv4py4WSXbeTC;36;Her World (feat. Jorja Smith);145733
4SqWJA9Yq8PGqhaXcLlENN;6;Pill;309820
41wgHYaNAx7QAEaUvmpUBb;37;Happy People;200424
3T9TQAYyDUgIlnnOHRlWWm;33;Switch Over;185915
0a7Ox96q9srH7b0IuyEDX8;9;Nightmare Muscle;204046
1znGDCclMTeWASFVF8tj2N;41;Run Rabbit;186822
59IQKPXEbdOdRxx889fBBO;43;LOVE 2;169160
0qdPpfbrgdBs6ie9bTtQ1d;74;REBEL HEART;188266
3KtbuP205Bjvseg2oSIIdp;48;I'm Not Dying To Be Here;204118
0tz35TsCwA94l9b1KvTWVq;58;Dandelion;202652
1SRg5WImDS1LbjbWR24Ln4;48;Monsters;211786
66JIwn15D6suNJDf4KAkKI;60;Mama Said;176880
1JkpySdM4EIKzcYbOBkIXr;28;SLOW DANCE IN A GAY BAR;250097
23yBE46dnIKFrTD4Tz4Q8s;44;Striptease;283413
2zOmS55knKWSgScYPTNmGQ;85;Sports car;165045
2MbPhDgeXVipowltFneRH2;44;HER;159797
3R7IeUfRLIGzNz4fSCZkeA;22;In Love Again;246533
23bXqg4y1R7VRzpY1x7xNX;42;One Way Ticket;167000
5dUOWlWWYdAgqeXwTgbaKt;60;21st Century Cool Girl;197655
6xSUqBXmKCh9DdZGw97dHo;49;take it slow;137842
5rrwj9g1c4kwnPSnsXP7g3;63;Arm's Length;239600
0bTtRLTzNMlAT6m5ia1f7M;6;TomFoolery;196755
78wZn0wdzhj3imUleYWd5M;59;True Religion;170769
1MlGcV91pwGj59IVAhuFT7;45;Ocean Steppin';170322
7q5j5GjFRsu5C8udZqjrKO;25;Wisteria;292907
2Zej1ZTJJNDcRj8e8iWUUo;70;Ten (feat. Skepta);122720
2hRjw7jLXXzTUx0IwTudik;27;Blasé;200222
1KwIDHEK3CYbHPJUTMxxNu;63;Do You Have A Destination?;204564
6jmobiz0KPfI8xdyevPS1h;43;Recognise;269280
6e5Cw6TEhIO5XVEAGlidCa;11;Evenfall;194946
2zF0lBxzjQFYs0jN13D5f0;63;BAYAMÓN;219000
374paA6T20EohUYyClwIqN;14;KNOW ME;161403
4AHeemjLSF5e1UbGRGCUO4;40;take me by the hand;171570
6TYCG46z5Kv7Xf4MtIwQGV;36;Break The System;153133
