artist_id,total_follower,artist_popularity
4EnymklUyqZwvmHQGlRssl,29804,40
682R9funbPX6wBWpD5IXPF,3998,18
3lrDYjsghBMfUTiLziD9q9,51236,31
3BOfygYBFwHTBFyCbsQVMv,1810,10
3SCI7sXHUZIeDKMWC5NT9C,81481,42
6F5n3bvrBgoyicdFT6L8IB,20429,38
57UnSUpae3SbRekxNa5Kgl,184257,57
1rhVQSyhxNOMN6RHi2sB44,9733,31
1CoZyIx7UvdxT5c8UkMzHd,3420702,71
2wPDbhaGXCqROrVmwDdCrK,244357,45
2VAqLzkNHs0cre3T6i1PHD,4411,25
7wXTWO45lqpUejDkike0Gf,67252,47
2u75EZNS4kCa8tnldGnUbH,1997,7
6l7R1jntPahGxwJt7Tky8h,95873,60
2ABEVwxsESCBsCBjN6qFru,13834,29
5H9IFTRxSICj24uxO15ScU,43000,44
5T8jStToPqlBhbVU5WNHvi,6655,22
1zFGR4NaBbCDBGwifPKGfM,48852,27
4BqOTaVacNL8CyDxxgiMjB,16583,28
6wnMFZFfsoJCOH4lVl5hGr,5224,26
423FQQpgCs0UoAGhKoJRsZ,485,11
2gHzUK8N8lsmNtTuJIoLga,14515,45
6TMJgSdBIPPtQJbAB8yPpO,5226,22
1h6b4y2ObngnFpgEwry7Fy,8061,33
3qOGTt4eTeEkCn3efhAGu2,7377,31
0QrEq2kZoi5VcRaHXSzgsQ,1226,11
0pZup8YQscNrnOy6Yw9pea,2245,15
6tYmTHApvspl6KAgTfHjAY,54462,44
1WZarnZpWEv7dDtjAETt4X,191757,50
2GH8Mzo3Ur1AdOnGUUpt17,55354,29
0sRVVDpgF2sKzPBkDszzUl,73296,37
18ca9d5EU5R1AhVKPR1cm0,165013,49
78X7quh8fqAGZ42OpLmUW0,62238,42
0eVyjRhzZKke2KFYTcDkeu,678688,70
5szilpXHcwOqnyKLqGco5j,1293565,70
0EmeFodog0BfCgMzAIvKQp,33255071,85
0ys2OFYzWYB5hRDLCsBqxt,9432200,86
40ZNYROS4zLfyyBSs2PGe2,4193191,88
4LEiUm1SRbFMgfqnQTwUbQ,3588324,73
1xxn3mhlUmOugl1ZhE0Mcx,10208,26
50hpiLUEfvAFPRjGu1CVMy,534,8
6qQANHDxlpq5OEz47UBzMJ,14933,26
4j8CsPzssbM8TCjSvgnmSs,29902,26
1f3ubTd6eyxuy30ddDJQQa,66122,47
1cbcisuKtAzBGFVJGBfPLo,720,14
75DH38eyfh2CDvQbXqjS80,14,8
2rLGlNI6htigNxx172qxLu,59257,44
17mwzDXKn4ra9cuxXaptwp,71977,34
2uYWxilOVlUdk4oV9DvwqK,8081233,81
4MXUO7sVCaFgFjoTI5ox5c,2027014,69
5QdyldG4Fl4TPiOIeMNpBZ,815109,65
0R4GqPzobzIMpRgEKJ4c5i,2132,17
2rCybFFmfZAOrBwGA8L7Nu,328,17
2R0CFyeMDiRbfkhkIMbyl1,77107,69
3yQMCDmPQPJlf6xJMzcnZL,21589,50
6ioTAQZBmrqOErz48ks1Ey,11691,18
1WaFQSHVGZQJTbf0BdxdNo,473050,82
7c0zOr4ffb5eteXrxWt7oB,68999,48
0T8Ix53aIN4F7aEKj4EnKy,605535,73
2zSRxKARE1AU9TpTLCQMsu,1354,8
1ePqgemlsIXZMmb7UBt9Lt,14,2
2RgSsZqVfLWpLd0PHbwxQE,97,23
4nzV0hThyodYzrwksnS86G,131868,42
3sXErEOw7EmO6Sj7EgjHdU,108237,37
3BKX2WA8UjZgTIJ2juyQ7G,8552,14
4GfEnw0dFSSzB9M65k0dA1,6369,27
6FGv87WQ3mJWn3cmLUww6x,82676,30
1McMsnEElThX1knmY4oliG,36908645,87
64tVHZVSAZhDEiOJxnb6hE,167031,45
2WoVwexZuODvclzULjPQtm,759607,62
1H0aWZUg7aOHQmo5h09xso,2419,5
1Rwokb27xxRMZC0zWA8i6C,21846,33
7ku2IztgbUo8QcB87vKqRg,1141,18
76rh78p0cww0l4OqgKabLQ,11835,30
6X4KA4jKoOy38FnsZmbVgJ,2068,6
3X2DdnmoANw8Rg8luHyZQb,114466,57
0AUwa5xmiy57qdGlOksvea,29612,29
2ynylCO9SRPTKjgNEH0Y2a,61021,41
5wnAwAJumfgRhuqn1HNMEX,4599,13
6yjpnGMq2yiLvJCSIVBwzd,3057,20
76LJ0AYW9sxNGRfKnag1vO,7006,28
53KwLdlmrlCelAZMaLVZqU,1447749,68
1SoBNpuC0N4nvaQFENS0qf,46669,40
2JeArEpz4gwisu54TmKyTr,548,3
4CeU1RMEIalbzrjqbp3UyZ,1526,24
58XGUNsRNu3cVOIOYk5chx,322832,45
0BJeP79i5wKgCqsEEiQ7G0,54352,40
7CHNUgkepqsMm9tYnwtVDt,16325,21
6GEykX11lQqp92UVOQQCC7,288850,63
5SRr4ZJMoygWecytkIwlaV,361395,53
0Gt5eU7AuKfotkBLgjyg9p,13147,39
4aTBKDsrXC1os9HzfPuDTR,8760,35
6X8WdFjrNhXATMDSs26aCc,1038923,60
4OYcOsMNf3EpRcS49S0JlW,17387,32
4vMQjKm8eKC2jr4QtGoj6B,690,23
3y5rpxyWWVPtPp6M5gEYfS,1057,17
37hAfseJWi0G3Scife12Il,2599860,62
3ZH4IYVc5qVlKyJoZhGpwy,31336,37
1GRdVyqsikMsJrvHskjwry,6912,28
1SQ5kDSYuCb4qOJx5itFxz,5368,12
4QQQhiYQwCKeAYIoVtFPcy,110,0
4U6clFEHqqGtTM89DZpJ9u,1108,12
57ZB0kMmW6JLQAIaCzMG7I,14292,21
4ITyby2i26NhM69kXNpIdR,12125,23
0zV4qbK24C1wRJWZ41d1jE,125,7
1LzWWI9v4UKdbBgz8fqi15,120047,44
6C403AR4y6PjN0xNNGh42m,123785,33
0IUBTnweyOMhLh7dcNbJ0g,928,18
3ZLBOPp2ZFAVIURaYXVAWC,187,1
63XBtGSEZINSyXylZxEUbv,1068711,66
6Kw9BTxzFraz25S8HCe8pQ,9650,17
0WAZJYudbUpl0EOjvdrnRG,69756,32
4XYh8yz79ILkPPbUSi9S20,4367,29
5PcwbyuOX1pnaeVYatEEB2,9865,28
4mwdnO2jZrMmMVrjcHsZBv,177331,58
2kUrBcfh7PVIivyYGAVjrQ,5402,27
5xQc464N2q2SMhKV5VNwzq,19,10
5FyKhjUra3e5YsWgfiDAkR,2,3
2qnpHrOzdmOo1S4ox3j17x,540384,58
6LEeAFiJF8OuPx747e1wxR,903194,64
6G4DQ8Ay1pHewvZKQ9V8QL,5630,29
4sVT2ewE73LNiPoBVi817s,2279,24
7mhv3pjuY4JRkMKuUK9mPh,16147,29
0q6u5HyVK4zwGuzEtqjHqa,54672,39
4tK6Z8fK7Sc9133byjPGIT,33378,46
3qwabfaWewpfli7hMNM3O8,367681,53
6pohviZSNRueSX7uNu63ZX,164002,41
54T6Gso8zGPk4czyWlnUw5,25549,27
37uLId6Z5ZXCx19vuruvv5,681638,50
2sY4BbYrbvNVgsNzo6HddD,23855,41
3BAgmPNIK5IJl7zMK1wvMA,836486,72
0k7Xl1pqI3tu8sSEjo5oEg,838149,64
7xsuKSqVVN2JzUIpZV0GeW,15768,58
3SwRHVTRoAEOkggZnCSFzt,18282,26
6kf69CwzgodrETRgzcjX95,16846,33
2G7c1PLHP1kGjq6XAol0MS,3141,18
40ZElxHldNyvn7x8WRC6fh,72654,49
08PvCOlef4xdOr20jFSTPd,1129315,72
3nHn9XdKWpfNmG7JWm1ous,2212,19
58ehndX799ZV9Jcv6IefJ1,49270,33
53TZm8kLBvnMddNr810H64,1015,5
41Cb0AUOB1YtrPLiDffzb0,1851,9
7gXtktcRCIGU7xy0dIOI1b,463,6
53xeKWbSRuGgTxViJTAZKC,36910,51
6lx2eNLdx4ZkZwrjNubj8W,4291,29
7lbSsjYACZHn1MSDXPxNF2,3457187,68
4n4AixYCSIn4H5BriyTEhm,2689,14
79YjWaAoD88XGLETIsnnQV,56591,40
1kMPdZQVdUhMDKDWOJM5iK,202228,51
1V7Q80qWWKLRo8U1RDUa9G,896,2
5pQjJKq9TyRd2lPQpwnFwo,571,3
3wcj11K77LjEY1PkEazffa,9134893,77
6b74rHzWIZlgLH7U5ybjUE,1915,12
5XqyqoLZXA69lCNyBT3f89,17309,20
6HvZYsbFfjnjFrWF950C9d,8231461,80
48tTb8jCGVZ0XFqwovqFmv,2798,36
72Kzyue7ShXymPjcjOZwHk,12413,37
0avMDS4HyoCEP6RqZJWpY2,576076,63
2h3ooJn8m8X8cL2g1BZ1Rd,114277,46
1YZljq3fZXrlnCe0mMxwKB,11440,41
4kEtpjbEnSh4WNeLF1IeG7,21396,53
