track_id,danceability,energy,key,loudness,mode,valence,tempo,duration_ms,time_signature
1IQsD3xZcSMkoZzbU1TlvV,0.216,0.444,2,-8.796,0,0.0842,87.339,220909,4
1gztQ3MS1wxRqV3dcjnVoS,0.385,0.484,1,-15.211,1,0.0323,139.71,533211,4
1HLaJowFbNM3MPyqnk5vjW,0.703,0.893,0,-4.479,1,0.741,89.984,195373,4
0Xc2rxkULvOz0v7H82yXQV,0.399,0.937,10,-5.577,1,0.264,140.132,236000,4
6QfQyQi4igS3Jd3JbC0ZAG,0.646,0.652,4,-6.764,0,0.186,126.073,163810,4
7x6J4EVdY8Lqe3jHQCfMgr,0.559,0.897,1,-3.5,1,0.512,163.075,197148,4
45uALDaioNlR6rc2qxjQFF,0.805,0.916,1,-3.266,1,0.789,140.022,222857,4
7iHv6PzRxx4x8KYb6XRFfm,0.67,0.588,2,-8.038,1,0.389,105.056,178909,4
2KOjQUKComceu4jmDQJt7m,0.374,0.871,0,-8.52,1,0.0649,95.795,372366,4
4M56DNMdZ1FlXV1KrsuU3R,0.184,0.293,0,-14.862,1,0.0361,127.109,380000,1
1zEwPwgdkD5bKuiovSKi23,0.606,0.722,11,-5.084,1,0.352,157.7,197878,4
28OHFYWmXQf4rjVXAVDkmM,0.484,0.957,4,-6.322,1,0.453,122.032,175082,4
6hMeJ3HFIiNQmS8cXqLPd4,0.594,0.522,4,-7.266,1,0.426,117.55,234498,4
5CZcG1qyIjLzg0fvFlh0ye,0.442,0.697,0,-7.336,1,0.524,120.379,146064,5
7763zdQtsUXNRKMDbahyK5,0.252,0.0467,0,-25.112,1,0.0307,79.273,629853,4
3Q1bERBnQFcpi6CUFX4fDN,0.719,0.972,0,-7.616,1,0.282,166.049,83064,4
3HdrMzfx9AFcdftHnXTUlS,0.457,0.87,2,-6.777,1,0.619,128.515,159934,4
28951XXObn5igteQcIdpJT,0.679,0.577,8,-7.668,1,0.641,127.977,139824,4
4pRlMDGcRFNfdos2RIZdHR,0.496,0.946,1,-6.331,1,0.327,86.993,207600,4
3JmBhQLd0TRlPQ0RG9SM5C,0.696,0.577,1,-7.122,1,0.352,149.771,160000,4
4VbxqW1m5lNy15fa6o22fO,0.72,0.534,7,-9.602,1,0.55,100.045,230400,4
6huxMX0WGdmd39W26DYCMZ,0.803,0.801,0,-6.694,1,0.561,125.382,203494,4
6DsUI0BxY490Y4HsX4VoRU,0.327,0.963,4,-6.871,1,0.639,196.023,156333,4
0sMgwHapnEjJ7ixPHuvE8m,0.411,0.404,5,-9.653,1,0.315,112.165,352670,4
2yYzwNHB5mctE8V9TaIe4q,0.725,0.662,9,-7.892,1,0.77,130.29,231933,4
67LSydi0LL1jlubbA7F5st,0.635,0.549,9,-8.509,1,0.829,114.002,168706,4
4HYSJzAmTFsZuaQZP1HHAl,0.59,0.965,1,-6.623,1,0.271,96.13,209952,4
7jYcMWHj8yJ2lpQzfHlxFp,0.0693,0.162,0,-18.482,1,0.0305,184.338,1228000,3
5hjhaH0vwtpftiLtF3veZp,0.656,0.801,1,-8.432,0,0.393,87.961,155093,4
3axHfW0lYfxZJUQFb87yiw,0.49,0.769,11,-5.472,1,0.237,139.961,180335,4
1eXzN85vuVH3VpDJlsrH8j,0.768,0.704,6,-8.545,0,0.713,159.987,199880,4
1yknM1iOqHUC7qZHwoHe9R,0.316,0.563,2,-13.736,1,0.62,75.831,179893,3
1O0X1mEfQHu7J8tYaDFWtU,0.0972,0.965,0,-1.439,1,0.752,199.443,107750,4
0M0XB8Ye3MhlToqtC1Ru4x,0.695,0.664,10,-8.579,0,0.339,132.905,95618,4
